wavenumber_cm,absorption,cd
17773.7592,2.09367047e-03,-1.33560930e+02
17774.2093,2.09677660e-03,-1.33836168e+02
17774.6594,2.09988971e-03,-1.34112164e+02
17775.1095,2.10300982e-03,-1.34388921e+02
17775.5596,2.10613694e-03,-1.34666440e+02
17776.0098,2.10927109e-03,-1.34944725e+02
17776.4599,2.11241231e-03,-1.35223779e+02
17776.9100,2.11556060e-03,-1.35503603e+02
17777.3601,2.11871600e-03,-1.35784201e+02
17777.8102,2.12187851e-03,-1.36065575e+02
17778.2603,2.12504817e-03,-1.36347729e+02
17778.7104,2.12822500e-03,-1.36630664e+02
17779.1605,2.13140901e-03,-1.36914383e+02
17779.6107,2.13460023e-03,-1.37198890e+02
17780.0608,2.13779868e-03,-1.37484186e+02
17780.5109,2.14100439e-03,-1.37770275e+02
17780.9610,2.14421736e-03,-1.38057159e+02
17781.4111,2.14743764e-03,-1.38344842e+02
17781.8612,2.15066523e-03,-1.38633325e+02
17782.3113,2.15390017e-03,-1.38922612e+02
17782.7614,2.15714247e-03,-1.39212705e+02
17783.2116,2.16039215e-03,-1.39503608e+02
17783.6617,2.16364925e-03,-1.39795323e+02
17784.1118,2.16691377e-03,-1.40087853e+02
17784.5619,2.17018575e-03,-1.40381200e+02
17785.0120,2.17346521e-03,-1.40675369e+02
17785.4621,2.17675216e-03,-1.40970360e+02
17785.9122,2.18004664e-03,-1.41266179e+02
17786.3623,2.18334867e-03,-1.41562826e+02
17786.8125,2.18665826e-03,-1.41860306e+02
